Well Name,Consistent_Well Name,qld_database_id
Hopeland 64,Hopeland 64,-1
Hopeland 65,Hopeland 65,-1
Hopeland 66,Hopeland 66,-1
Hopeland 136,Hopeland 136,-1
Hopeland 137,Hopeland 137,-1
Hopeland-12,Hopeland 12,-1
Hopeland-13,Hopeland 13,-1
Hopeland 96,Hopeland 96,-1
Hopeland 97,Hopeland 97,-1
Hopeland 333,Hopeland 333,-1
Hopeland 349,Hopeland 349,-1
Hopeland 352,Hopeland 352,-1
Hopeland 359,Hopeland 359,-1
Meenawarra-3,Meenawarra 3,-1
Harrisville-1,Harrisville 1,-1
Hopeland 196,Hopeland 196,-1
Hopeland 197,Hopeland 197,-1
Hopeland 363,Hopeland 363,-1
PD120V,PD120V,-1
PD121V,PD121V,-1
PD122V,PD122V,-1
PD130V,PD130V,-1
PD131V,PD131V,-1
Channing-1,Channing 1,-1
Hopeland-7,Hopeland 7,-1
Boyne River-16,Boyne River 16,-1
Styx River-3,Styx River 3,-1
Gunn Creek-1,Gunn Creek 1,-1
Carn Brea 131,Carn Brea 131,-1
Carn Brea 132,Carn Brea 132,-1
Carn Brea 133,Carn Brea 133,-1
Carn Brea 134,Carn Brea 134,-1
Carn Brea 135,Carn Brea 135,-1
Carn Brea 136,Carn Brea 136,-1
Carn Brea 137,Carn Brea 137,-1
Carn Brea 138,Carn Brea 138,-1
Carn Brea 111,Carn Brea 111,-1
Carn Brea 112,Carn Brea 112,-1
Carn Brea 113,Carn Brea 113,-1
Carn Brea 114,Carn Brea 114,-1
Carn Brea 115,Carn Brea 115,-1
Carn Brea 116,Carn Brea 116,-1
Carn Brea 117,Carn Brea 117,-1
Carn Brea 118,Carn Brea 118,-1
Coomooboolaroo-5F,Coomooboolaroo 5F,-1
Plainview-25,Plainview 25,138837
Plainview 26,Plainview 26,-1
CM-3,CM 3,-1
Kogan North 290,Kogan North 290,-1
Red Hill 95V,Red Hill 95V,-1
Red Hill 96V,Red Hill 96V,-1
Red Hill 97V,Red Hill 97V,-1
Kogan North 301,Kogan North 301,-1
Red Hill 67A,Red Hill 67A,-1
Kogan North 300,Kogan North 300,-1
RH070A,RH070A,-1
RH071A,RH071A,-1
Red Hill 123V,Red Hill 123V,-1
Red Hill 120V,Red Hill 120V,-1
Red Hill 92A,Red Hill 92A,-1
Red Hill 93A,Red Hill 93A,-1
Red Hill 94A,Red Hill 94A,-1
RHGU003V,RHGU003V,-1
RH072A,RH072A,-1
Red Hill 73V,Red Hill 73V,-1
Kogan North 334,Kogan North 334,-1
Kogan North 275,Kogan North 275,-1
Daandine 269,Daandine 269,-1
GR049,GR049,-1
BC001P,BC001P,-1
Kogan North 340,Kogan North 340,-1
Kogan North Pilot-4,Kogan North Pilot 4,-1
CMP-3,CMP 3,-1
Plainview-20,Plainview 20,-1
Baralaba 7,Baralaba 7,-1
Carn Brea 29,Carn Brea 29,-1
Bora Creek-2,Bora Creek 2,-1
HB004C,HB004C,-1
Cerito-1_1,Cerito 1 1,-1
Cerito 1,Cerito 1,-1
M060PA,M060PA,-1
M060PB,M060PB,-1
ANGLO_RRC025,ANGLO RRC025,-1
ANGLO_SHAFT1,ANGLO SHAFT1,-1
ANGLO_SHAFT1A,ANGLO SHAFT1A,-1
ANGLO_RRC019,ANGLO RRC019,-1
ANGLO_RRC020,ANGLO RRC020,-1
ANGLO_RRC021,ANGLO RRC021,-1
ANGLO_RRC022,ANGLO RRC022,-1
ANGLO_RRC023,ANGLO RRC023,-1
ANGLO_RRC024,ANGLO RRC024,-1
Harcourt-4,Harcourt 4,-1
Harcourt-5,Harcourt 5,-1
ANGLO_RRC016,ANGLO RRC016,-1
ANGLO_RRC017,ANGLO RRC017,-1
ANGLO_RRC018,ANGLO RRC018,-1
Alderley 316,Alderley 316,-1
Alderley 182,Alderley 182,-1
Alderley 212,Alderley 212,-1
Tipton-71,Tipton 71,-1
Tipton 633,Tipton 633,-1
Tipton-47,Tipton 47,-1
TWP-7,TWP 7,-1
Tipton-39,Tipton 39,-1
Tipton-39T,Tipton 39T,-1
Tipton-123,Tipton 123,-1
Tipton-129,Tipton 129,-1
Tipton 290,Tipton 290,-1
Tipton 311,Tipton 311,-1
Tipton-108,Tipton 108,-1
Tipton-111,Tipton 111,-1
Tipton-107,Tipton 107,-1
Tipton 528,Tipton 528,-1
Tipton 522,Tipton 522,-1
Tipton 523,Tipton 523,-1
Tipton 524,Tipton 524,-1
Tipton 525,Tipton 525,-1
Tipton 526,Tipton 526,-1
Tipton 527,Tipton 527,-1
Tipton 521,Tipton 521,-1
Tipton 623,Tipton 623,-1
Tipton West 420,Tipton West 420,-1
Tipton 421,Tipton 421,-1
Tipton 422,Tipton 422,-1
Tipton 423,Tipton 423,-1
Alderley 183,Alderley 183,-1
Tipton-182,Tipton 182,-1
Tipton-197,Tipton 197,138788
Tipton 491,Tipton 491,-1
Tipton 492,Tipton 492,-1
Tipton 493,Tipton 493,-1
Tipton 494,Tipton 494,-1
Tipton 495,Tipton 495,-1
Tipton 496,Tipton 496,-1
Tipton 497,Tipton 497,-1
Tipton 498,Tipton 498,-1
Tipton 601,Tipton 601,-1
Tipton 602,Tipton 602,-1
Tipton 610,Tipton 610,-1
Tipton 200,Tipton 200,-1
Tipton 201,Tipton 201,-1
Tipton 203,Tipton 203,-1
Red Hill 77A,Red Hill 77A,-1
Red Hill 78A,Red Hill 78A,-1
Daandine-136,Daandine 136,-1
