CONSISTENT_ORIG_NAME_NO,arrow_row_id
MAYFIELD BORE,-1
BRAESIDE  NO.1,-1
BRAESIDE  NO.2,-1
BRAESIDE  NO.3,-1
WOODEND BORE,-1
FLOWING BORE,-1
HOUSE BORE,-1
MYRTLEVALE BORE GF109,-1
LEXINGTON BORE,-1
PROSPECT BORE,-1
HOMESTEAD,-1
PLEUNA,-1
JACONDOLL NO.1,-1
JACCONDOLL NO.2,-1
JACCONDOLL NO.3,-1
WOOLSCOUR BORE,-1
WESTBOURNE BORE,-1
DUNBLANE BORE,-1
MCBRIDES BORE,-1
ALL FIVES BORE,-1
OLD  HOUSE  BORE,-1
WALKERS SELECTION,-1
STIBBARDS,-1
DUNBLANE NO.2,-1
CLOVER HILLS NO 1,-1
CLOVER HILLS NO 2,-1
KNOCKNINNY BORE,-1
CLOVER HILLS NO 4,-1
CLOVER HILLS NO 5,-1
KYNETON,-1
THE PATRICK NO 1,-1
THE PATRICK NO 2,-1
THE PATRICK NO 3,-1
HOUSE BORE,-1
PORCUPINE BORE,-1
MAXWELLS BORE,-1
FLOWING BORE,-1
2 MILE,-1
OLD BORE,-1
STAKE YARD BORE,-1
HOUSE BORE,-1
NO NAME,-1
EDWARDS BORE,-1
WOOLSHED BORE,-1
VALLEY DOWNS (2),-1
VALLEY DOWNS (4),-1
CENTRE BORE,-1
NO.1 BORE,-1
NO.2 BORE,-1
BUCKLEYS BORE,-1
NO.4 BORE,-1
HOUSE BORE NO.5,-1
NO.6 BORE,-1
WHISTLERS NO.7 BORE,-1
BETA NO 8 BORE,-1
NO 9 BORE,-1
WOOLSHED OR STEAM BORE,-1
OLD BARCOORAH,-1
HOUSE BORE,-1
OVERTON TWIN (4),-1
OVERTON TWIN (4A),-1
MILLSVALE,-1
KURRAJONG BORE,-1
GLENAVON,-1
3  MILE  BORE,-1
6  MILE  BORE,-1
HOUSE  WELL,-1
HOUSE BORE,-1
EVANDALE 1 BORE,-1
EVANDALE 1A BORE,-1
STONE HUT BORE,-1
WOOLSHED BORE,-1
WOOLSHED BORE,-1
NO. 5 BORE,-1
LUBRA BORE,-1
MINGEBURRA BORE,-1
ANTRIM NO.1,-1
ANTRIM NO. 2 BORE,-1
WEST EVANDALE BORE,-1
BRUTUS CREEK BORE,-1
CATTLE CREEK,-1
MEADOWLAND BORE,-1
HOUSE BORE,-1
PADUA BORE,-1
WOOLSHED BORE,-1
HOMESTEAD BORE,-1
ARUNDEL BORE,-1
BALMORAL BORE,-1
DUNDONALD BORE,-1
BAWRA NO.1 BORE,-1
BAWRA NO.2 BORE,-1
DUCK CREEK NO1,-1
BEECHAL LEASE,-1
BIG CREEK,-1
BACK BORE,-1
TRUGANINNI,-1
BIERBANK NO 2,-1
BEIRBANK NO1,-1
RAPHOLE BORE,-1
ITCHOORA BORE,-1
BACK NAVARRE BORE,-1
LEANDER XIII,-1
BOTHWELL BORE,-1
MUNGERIE BORE,-1
WHITEWOOD,-1
MOUNTAIN BORE,-1
BINDA NO 1 BORE,-1
BINDA NO 2 BORE,-1
BINDEBANGO NO 1 BORE,-1
BINDEBANGO NO 2,-1
6 2 FLOW,-1
6 3 FLOW,-1
6 5 FLOW (PLUGGED),-1
TARKO HOMESTEAD,-1
MINYEBURRA,-1
LITTLE BORE,-1
BAALBONG BORE,-1
SCOUR BORE,-1
SWAYLAND NO.1 BORE,-1
OAKLANDS BORE,-1
OLD GUNBARREL BORE,-1
HOUSE BORE,-1
NO.1 BORE,-1
BELMONT BORE,-1
HOUSE BORE,-1
NO.3 BORE,-1
HOMESTEAD BORE,-1
BLADENSBURG NO 12,-1
WILLIAMS BORE,-1
NUMBER 15,-1
BLANENSBURG  (17),-1
NEW BORE,-1
NO. 20 BORE,-1
BLADENSBURG (21),-1
NO.2 BORE,-1
WIRRIBI BORE,-1
MITCHELL WELL BORE,-1
GREGORY BORE,-1
NO.2 BORE,-1
NUGGET BORE,-1
BORE ADANDONED 1937,-1
YARRAMAN CREEK,-1
HOUSE BORE,-1
BACK BORE,-1
HOUSE BORE,-1
CARLO (1),-1
CARLO (2),-1
EASTWOOD NO 1 BORE,-1
HOUSE BORE,-1
MIDDLE PATH BORE,-1
EVRIN (1),-1
NO 2 BORE,-1
TREUAMMA BORE,-1
BOATMAN NO 1 TWIN,-1
SPRING BOATMAN 2,-1
JUBILEE BORE,-1
BOATMAN NO 5 BORE,-1
DUNDEE,-1
SHERWOOD HOMESTEAD,-1
NO 8 BORE,-1
BOATMAN NO 9,-1
NO 10 BORE,-1
BOATMAN NO 11 BORE,-1
GLENBAR NO 1 BORE,-1
GLENBAR NO 2 BORE,-1
CALABAH BORE,-1
NO12,-1
